编号,名称,篇章,粒度,状态,文档路径,摘要
GJ-EP01,归京,归京,episode,详细剧本,剧集/01-归京/GJ-EP01-归京.md,韩青驾车、原顾乘车，按行进方向，杜长庚左前、石照川右前、崔望野左后、许照邻右后，各骑一匹分护车厢四角；韩青在前驾座，行李集中于车厢后部行李架，行至春泽桥前竹木密林道；另有四匹拉车马。第一波十名遮面刺客先压迫耗力、有序退入林隙，第二波五名刺客再接手：黄祁照微巅峰、逼近守一，专取原顾；罗顺与三名行息同伙持续牵制五卒。第一波牵动原顾左肩旧伤，第二波黄祁再添擦伤，五卒接住数轮却勉力难支；林侧神秘人出手使黄的最后一击偏开，黄忌惮下令，五人惊退。五卒借此护人返府，巡灯后到仅查现场。韩托报案与报伤信，原顾换衣吃粥仍隐瞒，独入书房；杯落，今顾醒来，试窗失败后主动开门求助。存信过程留第24集补全
GJ-EP02,先过今夜,归京,episode,详细剧本,剧集/01-归京/GJ-EP02-先过今夜.md,今顾接受照料、试站确认伤势，从问答得知当前年号，认出军引上的顾砚，听明白雨损须补核、旧票不能丢，尚不知道旧票为何重要。韩放行囊先询问，分开军引、私票、零钱；说明已托人向师门报信、自己仍在府内，并给今顾白日另择住处的选择；顾伯收回被避开的手、留温水在够得到处；另一短场看见老卒外院西厢整理正式床具和行囊、分担食宿与收整核准保留的旧阵甲，不冒充现役差兵
GJ-EP03,门外的人,归京,episode,详细剧本,剧集/01-归京/GJ-EP03-门外的人.md,王寿冒称为昨夜桥案索取全部北路旧票；今顾发现查昨夜遇袭与取走整套旧票的目标不合，领条又无收件人，猜对方真正要的是票。王以一并核旧事、等车误时作答，今顾宁可改日自己跑，也不凭猜测定罪，主动请附近真差核对，并要求落名、写明领回处试其反应；杜请许到相邻街口请人。王寿被当班巡防否认后，抢回领条欲毁证并持刃逼杜松手，即被杜、韩、石默契控制。马六见真差抵门沿西巷撤走，崔报告看清的脸与去向；四人未被诱离。巡防分别登记E1a领条、E1b王寿租单
GJ-EP04,旧衣,归京,episode,分集大纲,剧集/01-归京/README.md,承接前一日追问，韩先说明旧票是北路领支、验货凭单，原顾坚持留下；更深用途他并不清楚。程叙听闻冒役来探望，带衣食、帮办军引核验；今顾以记忆不全解释旧事，接受原本给原顾的亲近。傍晚温九山接报赶到，先查看伤情、确认已稳，让他休息；旧招和运息的系统检查留待第6集，不展开师门履历
GJ-EP05,听不懂也要听,归京,episode,分集大纲,剧集/01-归京/README.md,程叙带今顾勾栏听曲，两人对结尾争执，仍把整折听完。今顾不再只附和程记得的口味，认真说自己喜欢的结尾，程嘴上争、仍陪他听完。回程两人约好整理书架、调窗帘，买用物给顾伯，许娘在街边卖灯穗
GJ-EP06,路不是这样走的,归京,episode,分集大纲,剧集/01-归京/README.md,温正式检查，发现顾砚连多年旧步法也不熟，先按伤后失调处理，教他重新找支点、收势；不施识魂术。今顾确认自己无法靠旧经历解释票据，主动与韩、杜复核桥前林中地形和五阵承压、林侧介入惊退刺客的经过，另循王寿租单查车行，分清两队行动；车行的调借来源把下一步指向沈氏货栈
GJ-EP07,谁的工钱,归京,episode,分集大纲,剧集/01-归京/README.md,车行曾从沈氏货栈调借王寿租用的车辆。20岁的沈蘅先处理陶七欠薪，再比对借还手续；她主持获授权的长京货栈经营，要求今顾出示相关凭单，不接受只凭顾家名头查账
GJ-EP08,不能只凭一张纸,归京,episode,分集大纲,剧集/01-归京/README.md,车行、货栈和付款经手互证，追到安排冒役的承办人；巡防另循桥前林中走访、第二波五名刺客的住宿登记、撤离见证与承单付款调查行刺。五卒分别作所见范围的证词，不用五人重复同一句话充作五份独立来源。第一波十人的形貌、撤向与可能经手另记，不把第二波五人的住宿证据外推给全部十五人。两条行动链出现共同经费经办线索，仍须分别查清
GJ-EP09,年饭,归京,episode,分集大纲,剧集/01-归京/README.md,冒役者被扣，调查等待核办。五卒各凑饭钱，和顾伯忙铺盖、锅灶与年菜；杜仍想等齐开饭，石先给腾出手的人盛热饭，自己却吃到凉的。杜不再催人坐齐，接过石的碗去热，嘴上仍数碗，漏数的恰是端锅的人。饭桌谈亲人、手艺和退伍后的合伙生计，没有新敌人打断。初二，旧案文书使外库加严封存，长京支枢开始本轮补稳，南水关随之失稳
GJ-EP10,肯作保的人,归京,episode,分集大纲,剧集/01-归京/README.md,谢鹤年公开担保，争取限定核验与居家候问，承担被追责的名誉风险；条件是材料如实交代。今顾接受，没有把自己的全部推断交给他决定
