场次编号,原场号,剧集编号,场次名称,场景,出镜角色,仅画外声,编号道具,备注
GJ-EP01-SC01,1-1,GJ-EP01,外·春泽桥前竹木密林道·雨夜,S01 春泽桥前竹木密林道,C01 顾砚（原顾）、C03 韩青、C06 黄祁、C07 罗顺、C16 杜长庚、C17 石照川、C20 崔望野、C23 许照邻、C57 灰领刺客、C58 褐袖刺客、C59 窄额带刺客、C60 林侧神秘人,,P01 四驾封闭豪华马车、P02 顾砚私人小行囊、P16 五片退制阵甲铜片、P19 护送队坐骑与鞍具、P20 五卒轻皮甲、P21 五卒携行兵器,v1.9节奏预算180秒，未实测。第一波十名遮面刺客先耗力并有序交接退林；第二波黄祁、罗顺及C57—59共五人接手，黄近宗师专杀，另四人牵制。C60使第二波撤走，第一波不重新加入，巡灯后到。 第一波以S01-W1-01至10十个匿名成年实例登记，不并入角色C名单；全段22个身体，不是同时在战团。四骑一车、六人八马，右侧近林开门下车，第一波合阵耗力，第二波黄造成左肩新擦伤；衣甲不透明、五卒未胜。受损车及四驾留场、四坐骑牵回；八车宽官道只用局部交锋。
GJ-EP01-SC02,1-2,GJ-EP01,外·长京南街·夜,S02 南街、汤摊与顾府外街口,C01 顾砚（原顾）、C03 韩青、C08 孙福生、C09 周成、C10 丁茂、C16 杜长庚、C17 石照川、C20 崔望野、C23 许照邻,,P02 顾砚私人小行囊、P19 护送队坐骑与鞍具、P20 五卒轻皮甲、P21 五卒携行兵器,v1.9节奏预算10秒，尚未试读。五卒明确继续在同一段街面，许C23携顾砚行囊。孙C08有对白，周C09、丁C10有露脸动作。汤摊热汤不当作顾伯的P10。 四人各牵一匹、韩扶原顾，许把P02置于H08鞍侧；不四骑并排挤街。 五卒外层高端暗纹劲装与腰封，P20内穿仅局部轮廓及暗皮边可见，P21兵器不改；1-3先松外襟取内甲收西厢器物区，后续无甲常服沿同色精工母形。
GJ-EP01-SC03,1-3,GJ-EP01,内外·顾府正门、前厅、外院西厢、外库门前·夜,S03 门院、前厅、廊道与S03-W西厢、S03-W 外院西厢、S06-K 外库门口,C01 顾砚（原顾）、C03 韩青、C04 顾伯、C16 杜长庚、C17 石照川、C20 崔望野、C23 许照邻,,P02 顾砚私人小行囊、P10 顾伯布药箱粥与温水、P14 顾伯所备干衣、P19 护送队坐骑与鞍具、P20 五卒轻皮甲、P21 五卒携行兵器,v1.9节奏预算40秒，尚未试读。外院西厢五人全员有明确卸装或照看动作；外库门前仅原顾C01。P02许→韩→前厅，P14取回换上；P13遗信随原顾但镜头不展示，故不列。个人安家钱袋不并入P18公用饭钱。 四匹坐骑置外院西厢外沿墙空地，卸鞍侧行李、添水草；P02由许从H08交韩，马不进西厢和外库。 五卒外层高端暗纹劲装与腰封，P20内穿仅局部轮廓及暗皮边可见，P21兵器不改；1-3先松外襟取内甲收西厢器物区，后续无甲常服沿同色精工母形。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP01-SC04,1-4,GJ-EP01,内外·书房及门外连廊·夜,S04 书房、S03 门院、前厅、廊道与S03-W西厢,C01 顾砚（原顾）、C03 韩青、C04 顾伯、C16 杜长庚,,P09 碎杯与瓷片,v1.9节奏预算20秒，尚未试读。明确出镜为原顾、顾伯、韩及外院杜；未指明身份的轮值同袍不扩成五人全员。P09此场只有屋内杯落声，瓷片首次可见在1-5。空食盒、湿血衣未另编P号，不套用P14干衣。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP01-SC05,1-5,GJ-EP01,内·书房·夜；插现代岩壁记忆,S04 书房、S07 现代岩壁局部,C02 陈渡（今顾）,C04 顾伯、C05 杨舟,P09 碎杯与瓷片、P12 现代局部衣袖与绳具,v1.9节奏预算80秒，尚未试读。今顾C02实际出镜，现代手与绳仍属C02，不另算现代露脸角色。顾伯C04隔门发声、杨舟C05为记忆画外声。两个人影与普通院声未落实可辨人物，不据此补列韩或其余老卒。镜、灯、柜与窗闩为已有场景陈设，20未另编P号。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP01-SC06,1-6,GJ-EP01,内外·书房门口·夜,S04 书房、S03 门院、前厅、廊道与S03-W西厢,C02 陈渡（今顾）、C03 韩青、C04 顾伯、C16 杜长庚,,P09 碎杯与瓷片,v1.9节奏预算45秒，尚未试读。顾伯与韩在今顾开门后实际入镜，杜在外院门洞可辨。杜由门外褐围巾及背景明确出现；其他几个影子未指明身份，不扩列五人全员。血衣不冒用P14干衣编号。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。 韩明确转述两拨：先十个后五个；今顾所得仅转述，不得声称亲历。
GJ-EP02-SC01,2-1,GJ-EP02,内·顾府卧房·深夜,S05 卧房、S03 门院、前厅、廊道与S03-W西厢,C02 陈渡（今顾）、C04 顾伯、C11 张济,,P10 顾伯布药箱粥与温水,v1.9节奏预算40秒，尚未试读。场头主要为S05；送张济离开时明确经过相连廊道，另关联S03。廊道值守者未指明身份，不补列具体老卒。P10用于顾伯的温水与照料物；张济自己的诊物不是另一套P10。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP02-SC02,2-2,GJ-EP02,内·卧房；外·相连廊下·深夜,S05 卧房、S03 门院、前厅、廊道与S03-W西厢,C02 陈渡（今顾）、C03 韩青、C04 顾伯、C16 杜长庚,,P02 顾砚私人小行囊、P03 原顾军引、P04 北路旧票与褐色小布套,v1.9节奏预算65秒，尚未试读。顾伯场首出去取鞋，杜在外院交接背景明确；其余轮值者未定人，不自动全列。韩出示顾砚行囊、军引、旧票；顾砚私人零钱不标为五卒公用P18。韩隔门对白后仍在本场出镜，不列voice_only。 今顾请求保留灯火，韩在廊外照应；杜经外院门洞接续。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP02-SC03,2-3,GJ-EP02,外·顾府附近街口·清晨,S02 南街、汤摊与顾府外街口,C14 赵平、C15 孟达,,,v1.9节奏预算10秒，尚未试读。赵平说话、孟达动作回应。台词提昨夜车辆不表示P01在此场出现。差服、公用文袋按既定人物造型，20未另给P号；生活群演不新编角色。
GJ-EP02-SC04,2-4,GJ-EP02,内外·外院西厢、相接廊道；后院井边·清晨,S03-W 外院西厢、S03 门院、前厅、廊道与S03-W西厢、S06 后院与S06-K外库门口,C03 韩青、C04 顾伯、C16 杜长庚、C17 石照川、C20 崔望野、C23 许照邻,,P17 五人各自退籍路凭、P18 共同饭钱袋与小账,v1.9节奏预算30秒，尚未试读。五卒分别有实际做事镜头，韩在井边、杜经廊交接。许C23与石C17首次独立对白。P17各自退籍路凭，P18仅共同伙食钱与账。厨房糖盐罐不是前厅P15小糖罐；米锅、粮袋等沿场景杂务物，不新造P号。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP02-SC05,2-5,GJ-EP02,内·卧房至前厅；正门外声音·清晨,S05 卧房、S03 门院、前厅、廊道与S03-W西厢,C02 陈渡（今顾）、C04 顾伯、C16 杜长庚,C12 王寿,P02 顾砚私人小行囊、P04 北路旧票与褐色小布套、P10 顾伯布药箱粥与温水、P15 小糖罐糖与粥勺,v1.9节奏预算35秒，尚未试读。王寿C12只有门外声，此时尚未露脸。院中其余人仅普通生活声，未指明是谁，不补入五卒出镜表。军引P03此场没有重新展示。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP03-SC01,3-1,GJ-EP03,内外·顾府正门、前厅视线·晨,S03 门院、前厅、廊道与S03-W西厢,C02 陈渡（今顾）、C04 顾伯、C12 王寿、C16 杜长庚,,P06 王寿手写领条,v1.9节奏预算50秒，尚未试读。王寿在门外递领条；P06/E1a王→杜→顾伯→今→杜。旧票只被索要，尚未在此场拿到门院；不列隐藏携带的P07、P11。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP03-SC02,3-2,GJ-EP03,内外·门院小案、前厅、西侧门视线·晨,S03 门院、前厅、廊道与S03-W西厢、S02 南街、汤摊与顾府外街口,C02 陈渡（今顾）、C03 韩青、C04 顾伯、C12 王寿、C13 马六、C16 杜长庚、C17 石照川、C20 崔望野、C23 许照邻,,P04 北路旧票与褐色小布套、P06 王寿手写领条,v1.9节奏预算55秒，尚未试读。标题以S03为主，但镜头明确看见S02西巷马六正侧脸，故同时关联S02。许C23去邻街请人，本场没有写赵孟出镜，不提前列。P06杜→韩阅→小案；P04今→顾伯。其余老卒留府不等于本场被拍到。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP03-SC03,3-3,GJ-EP03,内外·顾府正门、小案·晨,S03 门院、前厅、廊道与S03-W西厢、S02 南街、汤摊与顾府外街口,C02 陈渡（今顾）、C03 韩青、C04 顾伯、C12 王寿、C14 赵平、C15 孟达、C16 杜长庚、C17 石照川、C23 许照邻,,P04 北路旧票与褐色小布套、P06 王寿手写领条、P07 王寿租车凭条、P11 王寿短刃、P16 五片退制阵甲铜片,v1.9节奏预算35秒，尚未试读。许与赵孟在街口明确出现，赵虽从街面发声仍属本场出镜，不列voice_only。杜韩石约5秒控制持刃者；P06仅皱角，P07从王衣内落门内干地，P04始终在顾伯手中。P16仅三人极淡反应。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP03-SC04,3-4,GJ-EP03,内外·顾府院门、相接街口与西巷·晨,S03 门院、前厅、廊道与S03-W西厢、S02 南街、汤摊与顾府外街口,C02 陈渡（今顾）、C03 韩青、C04 顾伯、C12 王寿、C13 马六、C14 赵平、C15 孟达、C16 杜长庚、C17 石照川、C20 崔望野,,P04 北路旧票与褐色小布套、P06 王寿手写领条、P07 王寿租车凭条、P11 王寿短刃,v1.9节奏预算75秒，尚未试读。马六在西巷明确离开，崔报告所见。伍虽已返府，本场无明确动作或镜头，不沿上一场自动加入。P06今→赵；P07由孟拾→赵，今韩杜亲见掉落，孟不作掉落见证；孟收P11。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
GJ-EP03-SC05,3-5,GJ-EP03,内外·顾府门院小案、前厅·晨,S03 门院、前厅、廊道与S03-W西厢,C02 陈渡（今顾）、C03 韩青、C04 顾伯、C12 王寿、C14 赵平、C15 孟达、C16 杜长庚、C17 石照川、C20 崔望野、C23 许照邻,,P04 北路旧票与褐色小布套、P06 王寿手写领条、P07 王寿租车凭条、P08 东巡所收件记载、P10 顾伯布药箱粥与温水、P11 王寿短刃、P15 小糖罐糖与粥勺、P18 共同饭钱袋与小账,v1.9节奏预算70秒，尚未试读。五卒全部有明确收尾动作。P08赵→今→顾伯；P06、P07与P11随差役押王带走，P04由顾伯放到今桌前；前厅粥糖与许合饭钱小账分别可见。没有把已离场的马六补列。 今顾以昨夜分清钱票军引为参照，承认尚不知两案是否同伙，主动问带票原因。 顾府精养华贵、正式床具，大书房外围扩容不改案窗门局部动作距离；日母版与剧情夜／晨光分开。
