任务ID,名称,工序,批次,首批序,资产ID,场次,前置任务,验收条件,英文提示词,状态,拟定文件名
MB-C01-FACE,顾砚共用古代身份｜正脸身份,MJ,A,1,C01;C02,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC05;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,同脸覆盖C01／C02；24岁长鹅蛋脸、平直浓眉、暖麦肤；不随意识变脸,"Single fictional Chinese man, age 24, a long oval face, defined cheekbones, thick straight brows, slender almond dark-brown eyes with shallow inner folds, straight nose, defined cupid's bow, slightly fuller lower lip, warm wheat skin, clean-shaven, tall lean athletic build. long black hair in one neat topknot with a plain dark wooden pin. fitted ink-blue cross-collar travel robe, smoky-gray inner collar, dense cotton twill and fine wool, narrow sleeves, plain belt. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C01-FACE__v01__candidate.png
MB-C01-FULL,顾砚共用古代身份｜全身干衣,MJ,A,,C01;C02,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC05;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C01-FACE,同脸覆盖C01／C02；24岁长鹅蛋脸、平直浓眉、暖麦肤；不随意识变脸；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 24, a long oval face, defined cheekbones, thick straight brows, slender almond dark-brown eyes with shallow inner folds, straight nose, defined cupid's bow, slightly fuller lower lip, warm wheat skin, clean-shaven, tall lean athletic build. long black hair in one neat topknot with a plain dark wooden pin. fitted ink-blue cross-collar travel robe, smoky-gray inner collar, dense cotton twill and fine wool, narrow sleeves, plain belt. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C01-FULL__v01__candidate.png
MB-C01-PROFILE,顾砚共用古代身份｜侧脸,MJ,A,,C01;C02,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC05;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C01-FACE,同脸覆盖C01／C02；24岁长鹅蛋脸、平直浓眉、暖麦肤；不随意识变脸；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 24, a long oval face, defined cheekbones, thick straight brows, slender almond dark-brown eyes with shallow inner folds, straight nose, defined cupid's bow, slightly fuller lower lip, warm wheat skin, clean-shaven, tall lean athletic build. long black hair in one neat topknot with a plain dark wooden pin. fitted ink-blue cross-collar travel robe, smoky-gray inner collar, dense cotton twill and fine wool, narrow sleeves, plain belt. clean left profile head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C01-PROFILE__v01__candidate.png
MB-C01-THREEQUARTER,顾砚共用古代身份｜四分之三脸,MJ,A,,C01;C02,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC05;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C01-FACE,同脸覆盖C01／C02；24岁长鹅蛋脸、平直浓眉、暖麦肤；不随意识变脸；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 24, a long oval face, defined cheekbones, thick straight brows, slender almond dark-brown eyes with shallow inner folds, straight nose, defined cupid's bow, slightly fuller lower lip, warm wheat skin, clean-shaven, tall lean athletic build. long black hair in one neat topknot with a plain dark wooden pin. fitted ink-blue cross-collar travel robe, smoky-gray inner collar, dense cotton twill and fine wool, narrow sleeves, plain belt. three-quarter head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C01-THREEQUARTER__v01__candidate.png
MB-C03-FACE,韩青｜正脸身份,MJ,A,2,C03,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,比顾砚脸短宽，灰青窄袖；成熟炼身，不是少年将军,"Single fictional Chinese man, age 25, a compact face broader through the cheeks, open almond eyes, straight brows, rounded nose tip, clean square jaw, sun-tanned warm skin, clean-shaven, strong shoulders and forearms. black hair in a compact topknot tied with gray-blue cloth. gray-blue narrow-sleeved travel jacket, thin wool inner layer, plain waist belt, neatly finished cotton cuffs. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C03-FACE__v01__candidate.png
MB-C03-FULL,韩青｜全身干衣,MJ,A,,C03,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C03-FACE,比顾砚脸短宽，灰青窄袖；成熟炼身，不是少年将军；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 25, a compact face broader through the cheeks, open almond eyes, straight brows, rounded nose tip, clean square jaw, sun-tanned warm skin, clean-shaven, strong shoulders and forearms. black hair in a compact topknot tied with gray-blue cloth. gray-blue narrow-sleeved travel jacket, thin wool inner layer, plain waist belt, neatly finished cotton cuffs. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C03-FULL__v01__candidate.png
MB-C03-PROFILE,韩青｜侧脸,MJ,A,,C03,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C03-FACE,比顾砚脸短宽，灰青窄袖；成熟炼身，不是少年将军；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 25, a compact face broader through the cheeks, open almond eyes, straight brows, rounded nose tip, clean square jaw, sun-tanned warm skin, clean-shaven, strong shoulders and forearms. black hair in a compact topknot tied with gray-blue cloth. gray-blue narrow-sleeved travel jacket, thin wool inner layer, plain waist belt, neatly finished cotton cuffs. clean left profile head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C03-PROFILE__v01__candidate.png
MB-C03-THREEQUARTER,韩青｜四分之三脸,MJ,A,,C03,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C03-FACE,比顾砚脸短宽，灰青窄袖；成熟炼身，不是少年将军；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 25, a compact face broader through the cheeks, open almond eyes, straight brows, rounded nose tip, clean square jaw, sun-tanned warm skin, clean-shaven, strong shoulders and forearms. black hair in a compact topknot tied with gray-blue cloth. gray-blue narrow-sleeved travel jacket, thin wool inner layer, plain waist belt, neatly finished cotton cuffs. three-quarter head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C03-THREEQUARTER__v01__candidate.png
MB-C04-FACE,顾伯｜正脸身份,MJ,A,3,C04,GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,64岁、圆方脸灰短须，旧而整洁；不去皱变青年、不仙师化,"Single fictional Chinese man, age 64, a round-square face, full forehead and cheeks, gently drooping outer eyes, fine eye wrinkles, rounded nose, neat short gray-white beard, relaxed but upright shoulders. gray-black hair in a modest small topknot. smoky-tea long cotton robe with warm-gray inner collar, fine old repairs, sleeves suited to carrying a bowl. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C04-FACE__v01__candidate.png
MB-C04-FULL,顾伯｜全身干衣,MJ,A,,C04,GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C04-FACE,64岁、圆方脸灰短须，旧而整洁；不去皱变青年、不仙师化；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 64, a round-square face, full forehead and cheeks, gently drooping outer eyes, fine eye wrinkles, rounded nose, neat short gray-white beard, relaxed but upright shoulders. gray-black hair in a modest small topknot. smoky-tea long cotton robe with warm-gray inner collar, fine old repairs, sleeves suited to carrying a bowl. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C04-FULL__v01__candidate.png
MB-C04-PROFILE,顾伯｜侧脸,MJ,A,,C04,GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C04-FACE,64岁、圆方脸灰短须，旧而整洁；不去皱变青年、不仙师化；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 64, a round-square face, full forehead and cheeks, gently drooping outer eyes, fine eye wrinkles, rounded nose, neat short gray-white beard, relaxed but upright shoulders. gray-black hair in a modest small topknot. smoky-tea long cotton robe with warm-gray inner collar, fine old repairs, sleeves suited to carrying a bowl. clean left profile head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C04-PROFILE__v01__candidate.png
MB-C04-THREEQUARTER,顾伯｜四分之三脸,MJ,A,,C04,GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC01;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C04-FACE,64岁、圆方脸灰短须，旧而整洁；不去皱变青年、不仙师化；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 64, a round-square face, full forehead and cheeks, gently drooping outer eyes, fine eye wrinkles, rounded nose, neat short gray-white beard, relaxed but upright shoulders. gray-black hair in a modest small topknot. smoky-tea long cotton robe with warm-gray inner collar, fine old repairs, sleeves suited to carrying a bowl. three-quarter head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C04-THREEQUARTER__v01__candidate.png
MB-C16-FACE,杜长庚｜正脸身份,MJ,A,4,C16,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,43岁灰鬓、褐围巾、宽肩；不穿将军甲,"Single fictional Chinese man, age 43, a rectangular-square face, broad jaw, low straight thick eyebrows, narrow calm eyes, straight broad nose, lightly graying temples, broad shoulders. black hair bound in a plain topknot. brown fine-wool scarf, dark brown-gray fitted travel layers, narrow cuffs, plain cloth belt. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C16-FACE__v01__candidate.png
MB-C16-FULL,杜长庚｜全身干衣,MJ,A,,C16,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C16-FACE,43岁灰鬓、褐围巾、宽肩；不穿将军甲；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 43, a rectangular-square face, broad jaw, low straight thick eyebrows, narrow calm eyes, straight broad nose, lightly graying temples, broad shoulders. black hair bound in a plain topknot. brown fine-wool scarf, dark brown-gray fitted travel layers, narrow cuffs, plain cloth belt. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C16-FULL__v01__candidate.png
MB-C16-PROFILE,杜长庚｜侧脸,MJ,A,,C16,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C16-FACE,43岁灰鬓、褐围巾、宽肩；不穿将军甲；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 43, a rectangular-square face, broad jaw, low straight thick eyebrows, narrow calm eyes, straight broad nose, lightly graying temples, broad shoulders. black hair bound in a plain topknot. brown fine-wool scarf, dark brown-gray fitted travel layers, narrow cuffs, plain cloth belt. clean left profile head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C16-PROFILE__v01__candidate.png
MB-C16-THREEQUARTER,杜长庚｜四分之三脸,MJ,A,,C16,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP01-SC04;GJ-EP01-SC06;GJ-EP02-SC02;GJ-EP02-SC04;GJ-EP02-SC05;GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C16-FACE,43岁灰鬓、褐围巾、宽肩；不穿将军甲；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 43, a rectangular-square face, broad jaw, low straight thick eyebrows, narrow calm eyes, straight broad nose, lightly graying temples, broad shoulders. black hair bound in a plain topknot. brown fine-wool scarf, dark brown-gray fitted travel layers, narrow cuffs, plain cloth belt. three-quarter head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C16-THREEQUARTER__v01__candidate.png
MB-C06-FACE,黄祁｜正脸身份,MJ,B,,C06,GJ-EP01-SC01,,与另四名刺客脸形体量不同；身份母版不蒙面，林夜遮面与撤态另做；无新增血伤,"Single fictional Chinese man, age 34, a long rectangular face with high clear cheekbones, angled brows, narrow eyes, tall wiry athletic build. black hair bound close to the head, face unobscured in this identity study. matte black narrow-sleeved travel jacket over charcoal layers, plain dark belt. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C06-FACE__v01__candidate.png
