编号,名称,类别,别名,标签,状态,已有台本呈现,文档路径
C01,顾砚（原顾）,角色,顾砚；原顾,主角；归藏山；北路军旅；原身；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01,资产/角色/C01-顾砚（原顾）.md
C02,陈渡（今顾）,角色,陈渡；今顾；顾砚,主角；穿越；极限运动；细致观察；大胆推测；果断行动；轻松幽默；归藏山；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C02-陈渡（今顾）.md
C03,韩青,角色,,九卒；退伍边军；成熟炼身；同袍；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C03-韩青.md
C04,顾伯,角色,,街坊家眷；顾府；照料；原顾旧人；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C04-顾伯.md
C05,杨舟,角色,,街坊家眷；现代；岩友；画外声；前三集；美术v0.8；独立造型；人物传记v1.5,文字设定,GJ-EP01,资产/角色/C05-杨舟.md
C06,黄祁,角色,刺客甲,朝堂案件；春泽桥；照微；行刺执行者；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01,资产/角色/C06-黄祁.md
C07,罗顺,角色,刺客乙,朝堂案件；春泽桥；成熟炼身；行刺执行者；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01,资产/角色/C07-罗顺.md
C08,孙福生,角色,热汤摊主,街坊家眷；长京街巷；日常；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01,资产/角色/C08-孙福生.md
C09,周成,角色,欲招呼的客人,街坊家眷；长京街巷；日常；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01,资产/角色/C09-周成.md
C10,丁茂,角色,拦住同伴的客人,街坊家眷；长京街巷；日常；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01,资产/角色/C10-丁茂.md
C11,张济,角色,郎中,街坊家眷；诊疗；顾府；独立配角；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP02,资产/角色/C11-张济.md
C12,王寿,角色,冒役者,朝堂案件；冒役索票；领条；租单；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP02；GJ-EP03,资产/角色/C12-王寿.md
C13,马六,角色,侧巷同伙,朝堂案件；冒役索票；西巷；望风；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP03,资产/角色/C13-马六.md
C14,赵平,角色,当班领巡；真差役甲,朝堂案件；巡防；核查；纸件接收；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP02；GJ-EP03,资产/角色/C14-赵平.md
C15,孟达,角色,当班差役；真差役乙,朝堂案件；巡防；拾取人；押送；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP02；GJ-EP03,资产/角色/C15-孟达.md
C16,杜长庚,角色,,九卒；退伍边军；有限行息；领阵；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C16-杜长庚.md
C17,石照川,角色,,九卒；退伍边军；成熟炼身；石作；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C17-石照川.md
C18,孟宽,角色,,九卒；退伍边军；成熟炼身；同袍；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C18-孟宽.md
C19,罗百泉,角色,,九卒；退伍边军；有限行息；老枪手；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C19-罗百泉.md
C20,崔望野,角色,,九卒；退伍边军；有限行息；弓手；目击者；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C20-崔望野.md
C21,伍成,角色,,九卒；退伍边军；成熟炼身；接应；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C21-伍成.md
C22,段平生,角色,,九卒；退伍边军；成熟炼身；烹饪；照料；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C22-段平生.md
C23,许照邻,角色,,九卒；退伍边军；成熟炼身；行囊；伙食账；前三集；美术v0.8；独立造型；高端古装；人物传记v1.5,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/角色/C23-许照邻.md
C24,程叙,角色,原顾发小,主角；发小；程家；日常；兄弟；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C24-程叙.md
C25,沈蘅,角色,,女主；三女主；20岁；沈氏商号；恋爱；经营；查案；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C25-沈蘅.md
C26,谢鹤年,角色,谢先生；帝师,朝堂案件；守世局；正史计划；幕后；真实恩情；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C26-谢鹤年.md
C27,宁清晏,角色,天一观圣女,女主；三女主；22岁；圣女；天一观；修行；至情至性；恋爱；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C27-宁清晏.md
C28,殷照夜,角色,无相教圣女,女主；三女主；19岁；圣女；无相教；庇护网；恋爱；自主去留；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C28-殷照夜.md
C29,陆怀真,角色,,朝堂案件；核验；审理；高成礼上司；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C29-陆怀真.md
C30,陶七,角色,,街坊家眷；讨薪；失名；父女；安置；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C30-陶七.md
C31,苏芜,角色,,朝堂案件；医案；顾母旧案；证言；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C31-苏芜.md
C32,梁朔,角色,,朝堂案件；军需侵吞；后补伪契；买凶；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C32-梁朔.md
C33,温九山,角色,归藏山山主；师父；G01,师门；归藏山；幼年师承；守一圆满；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C33-温九山.md
C34,贺令仪,角色,师叔；G02,师门；归藏山；授武；行旅剑塾；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C34-贺令仪.md
C35,叶扶疏,角色,师妹；G03,师门；归藏山；问剑；戏衣；周小满；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C35-叶扶疏.md
C36,宋迟,角色,师弟；G04,师门；归藏山；木作；竞渡；章秋屏；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C36-宋迟.md
C37,岳素真,角色,天一观师长,师门；天一观；宁清晏师长；旧法；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C37-岳素真.md
C38,邵松年,角色,天一观同门师兄,师门；天一观；轮值；独立任事；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C38-邵松年.md
C39,姚春娘,角色,掌船朋友,街坊家眷；渡船；殷照夜朋友；庇护网；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C39-姚春娘.md
C40,章秋屏,角色,沈氏北路管事,街坊家眷；沈氏商号；工钱；宋迟借还；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C40-章秋屏.md
C41,程守成,角色,程父,街坊家眷；程家；担保责任；顾伯棋友；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C41-程守成.md
C42,程映禾,角色,程叙姐姐；蹴球教习,街坊家眷；程家；蹴球；经营；日常；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C42-程映禾.md
C43,高成礼,角色,勘验吏,朝堂案件；陆怀真下属；核验；调任；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C43-高成礼.md
C44,田兰枝,角色,制靴匠,街坊家眷；军户；遗属；韩青旧识；再婚；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C44-田兰枝.md
C45,周顺,角色,北路旧转运签收人,街坊家眷；证人；周小满父亲；庇护网；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C45-周顺.md
C46,周小满,角色,周顺之女,街坊家眷；染坊；戏衣染样；叶扶疏；自主去留；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C46-周小满.md
C47,闻策,角色,无相教北路执事,朝堂案件；无相教；债约；拘人；毁证；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C47-闻策.md
C48,顾父,角色,原顾之父,朝堂案件；顾家旧案；错误封界；已故；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C48-顾父.md
C49,宋知微,角色,顾母；原顾之母,街坊家眷；顾家旧案；延误治疗；已故；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C49-宋知微.md
C50,沈从简,角色,沈蘅舅父,朝堂案件；沈氏商号；虚报商损；已故；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C50-沈从简.md
C51,裴昭,角色,,朝堂案件；白河；同袍记忆；完全失世；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C51-裴昭.md
C52,承祐帝,角色,皇帝,朝堂案件；乾朝；授权责任；复核；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C52-承祐帝.md
C53,韩骁,角色,,朝堂案件；旧撤守令；责任人；北路；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C53-韩骁.md
C54,许娘,角色,,街坊家眷；灯穗；宅产；普通造假；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C54-许娘.md
C55,陶七女儿（未命名）,角色,陶七女儿,街坊家眷；未命名；父女；失名影响；后续大纲；美术v0.8；独立造型；高端古装；人物传记v1.5,大纲登记,,资产/角色/C55-陶七女儿（未命名）.md
C56,陈渡母亲（未命名）,角色,陈渡母亲,街坊家眷；现代；未命名；灾后日常；后续大纲；美术v0.8；独立造型；人物传记v1.5,大纲登记,,资产/角色/C56-陈渡母亲（未命名）.md
S01,春泽桥与入城接道,场景,春泽桥；春泽桥桥头；入城接道；相接泥道,EP01；古代；室外；雨夜；高端古装；美术v0.8,文字设定,GJ-EP01,资产/场景/S01-春泽桥与入城接道.md
S02,南街、汤摊与顾府外街口,场景,南街；汤摊；长京街巷；顾府外街口；西巷,EP01；EP02；EP03；古代；街巷；高端古装；美术v0.8,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/场景/S02-南街汤摊与顾府外街口.md
S03,门院、前厅、廊道与S03-W西厢,场景,顾府门院；顾府正门；前厅；连廊；外院西厢；S03-W,EP01；EP02；EP03；顾府；空间关系；高端古装；美术v0.8,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/场景/S03-顾府门院前厅与西厢.md
S04,书房,场景,顾府书房；今顾初醒处,EP01；顾府；室内；意识变化；高端古装；美术v0.8,文字设定,GJ-EP01,资产/场景/S04-书房.md
S05,卧房,场景,顾府卧房；伤后诊疗房,EP02；顾府；室内；照料；高端古装；美术v0.8,文字设定,GJ-EP02,资产/场景/S05-卧房.md
S06,后院与S06-K外库门口,场景,顾府后院；井边；外库门口；S06-K,EP01；EP02；顾府；生活区；高端古装；美术v0.8,文字设定,GJ-EP01；GJ-EP02,资产/场景/S06-后院与外库门口.md
S07,现代岩壁局部,场景,现代岩壁；攀岩记忆；撤退记忆,EP01；现代；记忆；局部；电影质感,文字设定,GJ-EP01,资产/场景/S07-现代岩壁局部.md
P01,敞棚小车,道具,原顾乘车；韩青驾驶小车,行装；EP01；S01,文字设定,GJ-EP01,资产/道具/P01-敞棚小车.md
P02,顾砚私人小行囊,道具,顾砚行囊；顾囊,行装；EP01；EP02；EP03；S03；S05,文字设定,GJ-EP01；GJ-EP02,资产/道具/P02-顾砚私人小行囊.md
P03,原顾军引,道具,军引；顾砚军引,文书证物；EP02；EP03；身份,文字设定,GJ-EP02,资产/道具/P03-原顾军引.md
P04,北路旧票与褐色小布套,道具,北路旧票；旧票；褐色小布套；褐套,文书证物；EP02；EP03；调查,文字设定,GJ-EP02；GJ-EP03,资产/道具/P04-北路旧票与褐色小布套.md
P05,空灰布袋,道具,空灰袋；旧版诱抢袋,停用；历史,停用,,资产/道具/P05-空灰布袋.md
P06,王寿手写领条,道具,E1a；冒役领条；手写领条,文书证物；EP03；索件；E1a,文字设定,GJ-EP03,资产/道具/P06-王寿手写领条.md
P07,王寿租车凭条,道具,E1b；租车凭条；租单,文书证物；EP03；索件；E1b,文字设定,GJ-EP03,资产/道具/P07-王寿租车凭条.md
P08,东巡所收件记载,道具,收件记载；收条,文书证物；EP03；交接,文字设定,GJ-EP03,资产/道具/P08-东巡所收件记载.md
P09,碎杯与瓷片,道具,碎杯；瓷片；落杯,日常；EP01；S04,文字设定,GJ-EP01,资产/道具/P09-碎杯与瓷片.md
P10,顾伯布药箱粥与温水,道具,干布；药箱；热粥；温水,日常；EP01；EP02；EP03；照料,文字设定,GJ-EP01；GJ-EP02；GJ-EP03,资产/道具/P10-顾伯布药箱粥与温水.md
P11,王寿短刃,道具,短刃；冒役者持刃,行装；EP03；持刃；交接,文字设定,GJ-EP03,资产/道具/P11-王寿短刃.md
P12,现代局部衣袖与绳具,道具,现代衣袖；攀岩绳具；绳具,服装；EP01；S07；现代；局部,文字设定,GJ-EP01,资产/道具/P12-现代局部衣袖与绳具.md
P13,原顾预写遗信与相关材料,道具,E4前史；遗信；原顾遗信,文书证物；作者追踪；隐藏；前史,文字设定,,资产/道具/P13-原顾预写遗信与相关材料.md
P14,顾伯所备干衣,道具,干衣；原顾换衣,服装；EP01；EP02；EP03；换装,文字设定,GJ-EP01,资产/道具/P14-顾伯所备干衣.md
P15,小糖罐糖与粥勺,道具,小糖罐；糖；粥勺,日常；EP02；EP03；前厅；口味变化,文字设定,GJ-EP02；GJ-EP03,资产/道具/P15-小糖罐糖与粥勺.md
P16,九片退制阵甲铜片,道具,阵甲铜片；九枚铜片；退制阵甲,行装；EP01；EP03；归旌阵；同袍合息,文字设定,GJ-EP01；GJ-EP03,资产/道具/P16-九片退制阵甲铜片.md
P17,九人各自退籍路凭,道具,退籍路凭；九卒退籍凭据,文书证物；EP02；退伍；身份,文字设定,GJ-EP02,资产/道具/P17-九人各自退籍路凭.md
P18,共同饭钱袋与小账,道具,伙食钱袋；饭钱小账；共同饭钱,日常；EP01；EP02；EP03；S03-W；生计,文字设定,GJ-EP02；GJ-EP03,资产/道具/P18-共同饭钱袋与小账.md
